,ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Time spent on fitness,Time spent on sleep,Time spent on social media,Change in your weight,Health issue during lockdown
314,R321,Outside Delhi-NCR,26,1.0,Good,0.0,6.0,6.0,Remain Constant,NO
315,R322,Delhi-NCR,21,5.0,Very poor,1.0,12.0,2.0,Increased,NO
318,R325,Delhi-NCR,21,2.0,Average,1.0,10.0,2.0,Remain Constant,NO
320,R327,Delhi-NCR,26,0.0,Very poor,1.0,7.0,1.0,Decreased,NO
323,R330,Delhi-NCR,21,0.0,Average,0.0,10.0,5.0,Increased,NO
324,R331,Outside Delhi-NCR,21,5.0,Average,0.0,8.0,0.5,Increased,NO
326,R333,Delhi-NCR,21,0.0,Very poor,1.0,7.0,1.0,Remain Constant,YES
327,R334,Outside Delhi-NCR,21,2.0,Average,1.0,7.0,1.0,Remain Constant,NO
329,R336,Outside Delhi-NCR,21,2.0,Average,0.0,8.0,2.0,Remain Constant,YES
331,R338,Delhi-NCR,22,1.0,Average,0.0,11.0,3.0,Increased,YES
341,R348,Outside Delhi-NCR,21,2.0,Very poor,0.0,9.0,2.0,Remain Constant,NO
346,R353,Delhi-NCR,24,0.5,Average,0.0,8.0,1.0,Remain Constant,NO
347,R354,Outside Delhi-NCR,21,3.0,Average,1.0,8.0,2.0,Increased,NO
357,R364,Delhi-NCR,23,0.0,Average,0.0,7.0,3.0,Remain Constant,NO
358,R365,Delhi-NCR,21,6.0,Very poor,1.0,7.0,4.0,Increased,NO
360,R367,Delhi-NCR,23,5.0,Excellent,1.0,9.0,2.0,Decreased,NO
362,R369,Delhi-NCR,21,3.0,Average,1.0,8.0,3.0,Increased,YES
364,R371,Delhi-NCR,23,3.0,Good,0.0,7.0,2.0,Remain Constant,NO
373,R380,Delhi-NCR,21,3.0,Average,0.0,8.0,2.0,Decreased,NO
381,R388,Delhi-NCR,22,0.0,Average,0.0,9.0,2.0,Remain Constant,NO
383,R390,Outside Delhi-NCR,21,4.0,Very poor,1.0,6.0,2.0,Remain Constant,NO
384,R391,Delhi-NCR,23,3.0,Good,0.0,6.0,2.0,Remain Constant,NO
404,R411,Outside Delhi-NCR,27,0.0,Good,0.0,10.0,6.0,Decreased,NO
408,R415,Delhi-NCR,27,3.0,Excellent,2.0,7.0,1.0,Decreased,YES
417,R424,Outside Delhi-NCR,24,0.0,Excellent,1.0,8.0,3.0,Decreased,NO
419,R426,Delhi-NCR,22,1.0,Very poor,0.0,7.0,3.0,Remain Constant,NO
422,R429,Outside Delhi-NCR,21,0.0,Very poor,0.0,6.0,6.0,Remain Constant,YES
425,R432,Outside Delhi-NCR,28,4.0,Good,1.0,12.0,2.0,Decreased,NO
426,R433,Delhi-NCR,21,2.0,Very poor,1.0,12.0,5.0,Remain Constant,NO
427,R434,Outside Delhi-NCR,21,2.0,Average,1.0,8.0,2.0,Remain Constant,YES
439,R446,Delhi-NCR,21,0.0,Very poor,1.0,7.0,2.0,Increased,NO
442,R449,Delhi-NCR,22,3.0,Average,0.0,7.0,3.0,Increased,NO
450,R457,Outside Delhi-NCR,21,0.0,Poor,0.0,7.0,2.0,Remain Constant,NO
451,R458,Delhi-NCR,23,6.0,Average,1.0,9.0,1.0,Remain Constant,NO
452,R459,Outside Delhi-NCR,21,2.0,Average,1.0,8.0,8.0,Increased,NO
458,R465,Outside Delhi-NCR,21,2.0,Average,1.0,10.0,8.0,Increased,NO
460,R467,Outside Delhi-NCR,22,1.0,Average,3.0,8.0,3.0,Increased,NO
461,R468,Delhi-NCR,21,1.0,Very poor,0.0,8.0,2.0,Remain Constant,NO
462,R469,Outside Delhi-NCR,21,2.0,Good,0.0,6.5,0.5,Increased,NO
463,R470,Delhi-NCR,21,2.0,Very poor,0.0,13.0,6.0,Decreased,YES
470,R477,Outside Delhi-NCR,21,2.0,Average,1.0,7.0,3.0,Remain Constant,NO
471,R478,Delhi-NCR,23,4.0,Very poor,1.0,7.0,1.0,Decreased,NO
477,R484,Delhi-NCR,21,4.0,Very poor,3.0,11.0,10.0,Decreased,NO
479,R486,Delhi-NCR,21,6.0,Excellent,1.0,6.0,1.0,Decreased,NO
482,R489,Outside Delhi-NCR,22,2.0,Average,0.0,8.0,1.0,Remain Constant,YES
483,R490,Delhi-NCR,21,3.0,Average,3.0,6.0,1.0,Remain Constant,NO
484,R491,Delhi-NCR,24,2.0,Poor,0.0,6.0,3.0,Decreased,NO
487,R494,Outside Delhi-NCR,24,5.0,Average,0.0,6.0,3.0,Increased,NO
488,R495,Delhi-NCR,21,5.0,Average,0.0,7.0,2.0,Increased,NO
490,R497,Outside Delhi-NCR,22,5.0,Very poor,1.0,8.0,4.0,Remain Constant,NO
494,R501,Outside Delhi-NCR,22,0.5,Very poor,1.0,8.0,3.0,Increased,NO
495,R502,Outside Delhi-NCR,21,4.0,Average,0.0,10.0,2.0,Increased,NO
499,R506,Outside Delhi-NCR,21,4.0,Very poor,0.0,6.0,1.0,Increased,NO
501,R508,Delhi-NCR,22,1.0,Very poor,1.0,6.0,2.0,Increased,NO
505,R512,Outside Delhi-NCR,21,0.0,Average,1.0,7.0,2.0,Increased,NO
520,R527,Outside Delhi-NCR,21,1.0,Average,2.0,8.0,2.0,Remain Constant,YES
526,R533,Delhi-NCR,26,2.0,Very poor,1.0,8.0,4.0,Decreased,NO
528,R535,Outside Delhi-NCR,22,3.0,Average,2.0,8.0,4.0,Remain Constant,NO
530,R537,Outside Delhi-NCR,21,4.0,Very poor,2.0,8.0,4.0,Decreased,NO
536,R543,Delhi-NCR,22,3.0,Average,1.0,6.0,3.0,Remain Constant,NO
537,R544,Outside Delhi-NCR,21,1.0,Poor,1.0,8.0,4.0,Remain Constant,NO
542,R549,Outside Delhi-NCR,24,2.0,Average,0.0,6.0,3.0,Decreased,NO
544,R551,Outside Delhi-NCR,21,0.0,Poor,0.0,7.0,2.0,Remain Constant,YES
548,R555,Delhi-NCR,21,6.0,Average,1.0,7.0,1.5,Remain Constant,NO
550,R557,Delhi-NCR,22,3.0,Very poor,1.0,9.0,1.0,Remain Constant,YES
552,R559,Outside Delhi-NCR,26,0.5,Very poor,0.0,6.0,1.0,Decreased,YES
553,R560,Delhi-NCR,21,0.0,Very poor,0.0,10.0,6.0,Remain Constant,NO
555,R562,Delhi-NCR,21,3.0,Average,2.0,8.0,2.0,Increased,NO
556,R563,Outside Delhi-NCR,21,3.0,Very poor,1.0,8.0,2.0,Increased,NO
561,R568,Delhi-NCR,21,4.0,Average,1.0,8.0,3.0,Increased,NO
563,R570,Delhi-NCR,21,8.0,Good,1.0,7.0,1.0,Remain Constant,NO
572,R579,Delhi-NCR,23,4.0,Very poor,1.0,8.0,2.0,Increased,NO
574,R581,Delhi-NCR,22,4.0,Very poor,0.0,9.0,1.0,Remain Constant,NO
578,R585,Delhi-NCR,21,3.0,Excellent,0.0,11.0,3.0,Remain Constant,NO
581,R588,Delhi-NCR,22,0.0,Very poor,1.0,6.0,0.5,Decreased,NO
583,R590,Delhi-NCR,21,2.0,Very poor,1.0,8.0,1.0,Increased,NO
586,R593,Outside Delhi-NCR,24,2.0,Average,1.0,7.0,4.0,Remain Constant,NO
589,R596,Delhi-NCR,25,2.0,Good,0.0,7.0,2.0,Remain Constant,NO
590,R597,Delhi-NCR,24,6.0,Good,0.0,9.0,2.0,Decreased,YES
599,R606,Delhi-NCR,21,1.0,Very poor,0.0,8.0,2.0,Decreased,YES
600,R608,Delhi-NCR,21,6.0,Very poor,0.0,8.0,4.0,Increased,YES
601,R609,Delhi-NCR,21,4.0,Average,0.0,8.0,2.0,Decreased,NO
602,R610,Delhi-NCR,22,1.0,Very poor,2.0,7.0,1.0,Remain Constant,NO
607,R615,Delhi-NCR,21,2.0,Average,0.0,7.0,5.0,Decreased,NO
608,R616,Delhi-NCR,22,2.0,Very poor,0.0,6.0,5.0,Increased,NO
610,R618,Delhi-NCR,25,6.0,Good,1.0,7.0,3.0,Increased,NO
612,R620,Outside Delhi-NCR,25,1.0,Average,0.5,9.0,2.0,Increased,NO
613,R621,Delhi-NCR,22,1.0,Very poor,0.0,6.0,2.0,Increased,YES
614,R622,Outside Delhi-NCR,21,0.0,Very poor,0.0,8.0,4.0,Remain Constant,YES
616,R624,Outside Delhi-NCR,21,2.0,Good,0.0,12.0,3.0,Remain Constant,NO
620,R628,Delhi-NCR,22,0.0,Very poor,0.0,8.0,5.0,Remain Constant,NO
621,R629,Outside Delhi-NCR,21,4.0,Average,1.0,6.0,1.0,Remain Constant,YES
624,R632,Delhi-NCR,30,4.0,Average,1.0,7.0,1.0,Remain Constant,NO
625,R633,Delhi-NCR,21,2.0,Average,1.0,9.0,2.0,Remain Constant,NO
626,R634,Outside Delhi-NCR,28,3.0,Good,1.0,9.0,2.0,Remain Constant,NO
627,R635,Delhi-NCR,21,4.0,Very poor,0.0,6.0,2.0,Remain Constant,NO
632,R640,Delhi-NCR,25,1.0,Average,0.0,10.0,1.0,Increased,NO
637,R645,Outside Delhi-NCR,28,2.0,Excellent,1.0,7.0,1.0,Decreased,NO
641,R649,Delhi-NCR,30,4.0,Excellent,0.0,5.0,6.0,Remain Constant,NO
643,R651,Delhi-NCR,21,0.0,Very poor,0.0,10.0,2.0,Remain Constant,NO
652,R660,Delhi-NCR,21,6.0,Very poor,1.0,7.0,2.0,Increased,NO
657,R665,Outside Delhi-NCR,22,6.0,Average,1.0,11.0,6.0,Increased,YES
